p,Tu,phi,egr,Su,deltaL,completed
100000.0,400.0,1.4,0.35,1.3835720344379756,0.0003165413724135917,True
100000.0,400.0,1.4,0.4,1.1668540684166355,0.00033433328714987676,True
100000.0,400.0,1.4,0.45,0.9529250725407539,0.0003599067941168266,True
100000.0,400.0,1.4,0.5,0.746452253813848,0.00037965684206216546,True
100000.0,400.0,1.4,0.55,0.543047931035972,0.0004303806801195326,True
100000.0,400.0,1.4,0.6,,,False
100000.0,400.0,1.5,0.0,2.8791895119602167,0.00026901349371327504,True
100000.0,400.0,1.5,0.05,2.6807177248160454,0.0002840468062031157,True
100000.0,400.0,1.5,0.1,2.4770333456862854,0.0002798512070619209,True
100000.0,400.0,1.5,0.15,2.269149543500783,0.00027911821760211614,True
100000.0,400.0,1.5,0.2,2.0573836489103265,0.0002897856525785534,True
100000.0,400.0,1.5,0.25,1.843076699909492,0.00026867528046769314,True
100000.0,400.0,1.5,0.3,1.6254858914623134,0.0003057053605318344,True
100000.0,400.0,1.5,0.35,1.4074317120294548,0.00031956585615731877,True
100000.0,400.0,1.5,0.4,1.1895315818668788,0.0003366628235423412,True
100000.0,400.0,1.5,0.45,0.9741285599748928,0.0003602865866951149,True
100000.0,400.0,1.5,0.5,0.7662853586776855,0.0003788981871095122,True
100000.0,400.0,1.5,0.55,0.5585268515068149,0.0004249051523853167,True
100000.0,400.0,1.5,0.6,,,False
100000.0,400.0,1.6,0.0,2.8800850000451317,0.00027475548061332947,True
100000.0,400.0,1.6,0.05,2.6842499155420905,0.00027812609330919025,True
100000.0,400.0,1.6,0.1,2.48333237269058,0.0002821277711494622,True
100000.0,400.0,1.6,0.15,2.2776904791239914,0.0002870359704728724,True
